CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Lighter_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:19:55"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
129	J12	   90.00	   90.00	   90.00	 0.15933	 0.14981	 0.09236	   45.61	    8.82	    9.84	
130	J13	   45.00	   45.00	   45.00	 0.04978	 0.04506	 0.02583	   25.28	    8.26	    8.14	
131	K1	  140.00	  140.00	  140.00	 0.32209	 0.31561	 0.21190	   62.98	    6.50	    9.05	
132	K2	  165.00	  165.00	  165.00	 0.41949	 0.41733	 0.29189	   70.69	    5.22	    8.02	
133	K3	  190.00	  190.00	  190.00	 0.52643	 0.53362	 0.39901	   78.09	    3.10	    5.24	
134	K4	   90.00	   90.00	   90.00	 0.16051	 0.15092	 0.09350	   45.76	    8.84	    9.71	
135	K5	   95.00	   95.00	   95.00	 0.17750	 0.16775	 0.10513	   47.98	    8.67	    9.67	
136	K6	   85.00	   85.00	   85.00	 0.14684	 0.13760	 0.08456	   43.89	    8.87	    9.66	
137	K7	  215.00	  215.00	  215.00	 0.63936	 0.65636	 0.52251	   84.81	    1.48	    2.07	
138	K8	   75.00	   75.00	   75.00	 0.11821	 0.10996	 0.06619	   39.57	    8.84	    9.57	
139	K9	  240.00	  240.00	  240.00	 0.75257	 0.78393	 0.65136	   90.96	   -0.67	   -0.42	
140	K10	  190.00	  190.00	  190.00	 0.52479	 0.53230	 0.39790	   78.01	    3.01	    5.26	
141	K11	   10.00	   10.00	   10.00	 0.00907	 0.00839	 0.00543	    7.58	    3.91	    2.82	
142	K12	  235.00	  235.00	  235.00	 0.72687	 0.75528	 0.62244	   89.64	   -0.29	    0.08	
143	K13	   35.00	   35.00	   35.00	 0.03326	 0.02994	 0.01720	   20.02	    7.51	    7.06	
144	L1	  115.00	  115.00	  115.00	 0.23607	 0.22727	 0.14607	   54.79	    7.67	    9.76	
145	L2	   85.00	   85.00	   85.00	 0.14660	 0.13755	 0.08373	   43.88	    8.76	    9.96	
146	L3	   30.00	   30.00	   30.00	 0.02788	 0.02511	 0.01445	   17.97	    7.05	    6.63	
147	L4	   50.00	   50.00	   50.00	 0.06041	 0.05495	 0.03165	   28.10	    8.50	    8.59	
148	L5	  140.00	  140.00	  140.00	 0.32047	 0.31401	 0.21072	   62.85	    6.50	    9.05	
149	L6	  190.00	  190.00	  190.00	 0.52591	 0.53343	 0.39914	   78.08	    3.02	    5.21	
150	L7	   60.00	   60.00	   60.00	 0.08193	 0.07533	 0.04415	   32.99	    8.64	    9.11	
151	L8	  105.00	  105.00	  105.00	 0.20248	 0.19337	 0.12194	   51.08	    8.06	    9.92	
152	L9	   95.00	   95.00	   95.00	 0.17510	 0.16553	 0.10321	   47.69	    8.61	    9.80	
153	L10	  190.00	  190.00	  190.00	 0.52341	 0.53088	 0.39637	   77.93	    3.02	    5.31	
154	L11	  195.00	  195.00	  195.00	 0.54522	 0.55423	 0.41849	   79.28	    2.75	    4.79	
155	L12	   65.00	   65.00	   65.00	 0.09295	 0.08576	 0.05078	   35.15	    8.77	    9.24	
156	L13	   15.00	   15.00	   15.00	 0.01282	 0.01167	 0.00722	   10.31	    5.03	    4.15	
157	M1	  170.00	  170.00	  170.00	 0.44186	 0.44151	 0.31299	   72.33	    4.76	    7.52	
158	M2	  105.00	  105.00	  105.00	 0.20372	 0.19472	 0.12225	   51.23	    7.99	   10.10	
159	M3	  220.00	  220.00	  220.00	 0.65882	 0.67816	 0.54436	   85.91	    1.10	    1.61	
160	M4	  170.00	  170.00	  170.00	 0.44044	 0.43994	 0.31207	   72.22	    4.79	    7.48	
161	M5	  100.00	  100.00	  100.00	 0.18970	 0.18029	 0.11299	   49.53	    8.34	    9.90	
162	M6	  150.00	  150.00	  150.00	 0.35782	 0.35292	 0.23956	   65.98	    5.96	    8.91	
163	M7	  195.00	  195.00	  195.00	 0.54637	 0.55546	 0.41994	   79.35	    2.74	    4.73	
164	M8	  145.00	  145.00	  145.00	 0.33825	 0.33252	 0.22359	   64.36	    6.23	    9.14	
165	M9	  110.00	  110.00	  110.00	 0.21712	 0.20821	 0.13224	   52.75	    7.84	    9.91	
166	M10	  120.00	  120.00	  120.00	 0.25009	 0.24193	 0.15641	   56.28	    7.32	    9.74	
167	M11	   85.00	   85.00	   85.00	 0.14572	 0.13665	 0.08346	   43.75	    8.79	    9.83	
168	M12	  255.00	  255.00	  255.00	 0.83369	 0.87308	 0.74206	   94.87	   -1.55	   -1.89	
169	M13	  145.00	  145.00	  145.00	 0.33707	 0.33150	 0.22308	   64.28	    6.18	    9.10	
170	N1	  245.00	  245.00	  245.00	 0.78013	 0.81350	 0.68175	   92.29	   -0.85	   -0.96	
171	N2	   45.00	   45.00	   45.00	 0.04970	 0.04502	 0.02551	   25.27	    8.20	    8.38	
172	N3	   90.00	   90.00	   90.00	 0.16036	 0.15080	 0.09299	   45.74	    8.83	    9.85	
173	N4	  175.00	  175.00	  175.00	 0.45842	 0.45987	 0.33072	   73.54	    4.31	    6.92	
174	N5	  175.00	  175.00	  175.00	 0.45850	 0.45990	 0.33049	   73.54	    4.32	    6.96	
175	N6	   10.00	   10.00	   10.00	 0.00902	 0.00834	 0.00533	    7.53	    3.93	    2.93	
176	N7	    5.00	    5.00	    5.00	 0.00546	 0.00525	 0.00383	    4.75	    1.57	    0.95	
177	N8	  225.00	  225.00	  225.00	 0.68018	 0.70242	 0.56873	   87.12	    0.63	    1.12	
178	N9	  145.00	  145.00	  145.00	 0.33799	 0.33226	 0.22375	   64.34	    6.23	    9.08	
179	N10	   10.00	   10.00	   10.00	 0.00905	 0.00838	 0.00537	    7.57	    3.87	    2.92	
180	N11	  200.00	  200.00	  200.00	 0.56566	 0.57634	 0.44119	   80.53	    2.47	    4.11	
181	N12	   85.00	   85.00	   85.00	 0.14565	 0.13653	 0.08349	   43.73	    8.83	    9.79	
182	N13	  180.00	  180.00	  180.00	 0.47880	 0.48236	 0.35177	   74.97	    3.81	    6.33	
183	O1	  215.00	  215.00	  215.00	 0.63997	 0.65693	 0.52389	   84.84	    1.49	    1.97	
184	O2	  105.00	  105.00	  105.00	 0.20218	 0.19315	 0.12147	   51.05	    8.02	   10.01	
185	O3	  215.00	  215.00	  215.00	 0.64018	 0.65714	 0.52371	   84.85	    1.49	    2.01	
186	O4	   15.00	   15.00	   15.00	 0.01319	 0.01197	 0.00734	   10.54	    5.20	    4.32	
187	O5	  100.00	  100.00	  100.00	 0.18896	 0.17960	 0.11268	   49.45	    8.32	    9.85	
188	O6	   25.00	   25.00	   25.00	 0.02179	 0.01966	 0.01142	   15.31	    6.42	    5.96	
189	O7	   65.00	   65.00	   65.00	 0.09336	 0.08615	 0.05104	   35.23	    8.77	    9.24	
190	O8	  240.00	  240.00	  240.00	 0.75190	 0.78332	 0.65154	   90.93	   -0.69	   -0.49	
191	O9	  225.00	  225.00	  225.00	 0.67890	 0.70115	 0.56772	   87.05	    0.62	    1.12	
192	O10	   60.00	   60.00	   60.00	 0.08073	 0.07426	 0.04336	   32.76	    8.58	    9.15	
193	O11	   10.00	   10.00	   10.00	 0.00899	 0.00831	 0.00536	    7.50	    3.93	    2.81	
194	O12	   80.00	   80.00	   80.00	 0.13095	 0.12222	 0.07419	   41.57	    8.87	    9.66	
195	O13	  100.00	  100.00	  100.00	 0.18571	 0.17648	 0.11064	   49.07	    8.29	    9.82	
196	P1	  130.00	  130.00	  130.00	 0.28694	 0.27921	 0.18421	   59.82	    7.02	    9.40	
197	P2	  160.00	  160.00	  160.00	 0.39975	 0.39638	 0.27330	   69.21	    5.54	    8.54	
198	P3	  230.00	  230.00	  230.00	 0.70223	 0.72726	 0.59717	   88.32	    0.21	    0.30	
199	P4	   20.00	   20.00	   20.00	 0.01705	 0.01544	 0.00917	   12.88	    5.78	    5.17	
200	P5	  170.00	  170.00	  170.00	 0.43755	 0.43715	 0.31047	   72.04	    4.75	    7.41	
201	P6	    0.00	    0.00	    0.00	 0.00290	 0.00297	 0.00250	    2.68	    0.17	   -0.10	
202	P7	   90.00	   90.00	   90.00	 0.15930	 0.14988	 0.09264	   45.62	    8.76	    9.76	
203	P8	   70.00	   70.00	   70.00	 0.10455	 0.09694	 0.05758	   37.29	    8.74	    9.54	
204	P9	  255.00	  255.00	  255.00	 0.82893	 0.86793	 0.73915	   94.65	   -1.51	   -2.01	
205	P10	    5.00	    5.00	    5.00	 0.00536	 0.00518	 0.00368	    4.68	    1.47	    1.12	
206	P11	   40.00	   40.00	   40.00	 0.04098	 0.03695	 0.02117	   22.63	    7.97	    7.63	
207	P12	  250.00	  250.00	  250.00	 0.80238	 0.83876	 0.70807	   93.40	   -1.24	   -1.44	
208	P13	    0.00	    0.00	    0.00	 0.00299	 0.00305	 0.00277	    2.75	    0.19	   -0.48	
209	Q1	   60.00	   60.00	   60.00	 0.08058	 0.07410	 0.04306	   32.72	    8.59	    9.27	
210	Q2	  200.00	  200.00	  200.00	 0.56864	 0.57937	 0.44350	   80.70	    2.47	    4.12	
211	Q3	   75.00	   75.00	   75.00	 0.11695	 0.10875	 0.06501	   39.37	    8.85	    9.73	
212	Q4	  245.00	  245.00	  245.00	 0.77760	 0.81098	 0.68044	   92.18	   -0.87	   -1.04	
213	Q5	   20.00	   20.00	   20.00	 0.01719	 0.01555	 0.00917	   12.95	    5.81	    5.29	
214	Q6	  125.00	  125.00	  125.00	 0.26727	 0.25932	 0.16985	   57.97	    7.16	    9.45	
215	Q7	    5.00	    5.00	    5.00	 0.00542	 0.00522	 0.00382	    4.72	    1.56	    0.92	
216	Q8	  140.00	  140.00	  140.00	 0.31785	 0.31142	 0.20893	   62.63	    6.48	    9.04	
217	Q9	  185.00	  185.00	  185.00	 0.49743	 0.50268	 0.37123	   76.23	    3.45	    5.78	
