CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
147	L4	   50.00	   50.00	   50.00	 0.02692	 0.02424	 0.01395	   17.57	    6.98	    6.55	
148	L5	  140.00	  140.00	  140.00	 0.23604	 0.22751	 0.14602	   54.82	    7.54	    9.81	
149	L6	  190.00	  190.00	  190.00	 0.44909	 0.44993	 0.32048	   72.89	    4.44	    7.34	
150	L7	   60.00	   60.00	   60.00	 0.03798	 0.03420	 0.01956	   21.65	    7.83	    7.46	
151	L8	  105.00	  105.00	  105.00	 0.12816	 0.11969	 0.07226	   41.17	    8.76	    9.75	
152	L9	   95.00	   95.00	   95.00	 0.10320	 0.09550	 0.05669	   37.02	    8.85	    9.50	
153	L10	  190.00	  190.00	  190.00	 0.44972	 0.45036	 0.32087	   72.92	    4.50	    7.33	
154	L11	  195.00	  195.00	  195.00	 0.47670	 0.47966	 0.34883	   74.80	    3.97	    6.46	
155	L12	   65.00	   65.00	   65.00	 0.04439	 0.03999	 0.02282	   23.67	    8.22	    7.91	
156	L13	   15.00	   15.00	   15.00	 0.00596	 0.00570	 0.00413	    5.15	    1.90	    1.07	
157	M1	  170.00	  170.00	  170.00	 0.35604	 0.35122	 0.23810	   65.84	    5.94	    8.95	
158	M2	  105.00	  105.00	  105.00	 0.12774	 0.11944	 0.07159	   41.13	    8.65	    9.96	
159	M3	  220.00	  220.00	  220.00	 0.61494	 0.62961	 0.49351	   83.42	    1.84	    2.91	
160	M4	  170.00	  170.00	  170.00	 0.35441	 0.34964	 0.23688	   65.72	    5.92	    8.96	
161	M5	  100.00	  100.00	  100.00	 0.11576	 0.10772	 0.06457	   39.19	    8.75	    9.62	
162	M6	  150.00	  150.00	  150.00	 0.27260	 0.26491	 0.17334	   58.50	    7.04	    9.56	
163	M7	  195.00	  195.00	  195.00	 0.47483	 0.47826	 0.34753	   74.71	    3.83	    6.49	
164	M8	  145.00	  145.00	  145.00	 0.25362	 0.24544	 0.15897	   56.63	    7.31	    9.71	
